code|en|de|sk
lang|en|de|sk
is| is | ist |" je "
was_male| was | war |" bol "
was_female| was | war |" bola "
was_neutrum| was | war |" bolo "
are| are | sind |" sú "
were| were | waren |" boli "
summary|en description sourced from en wiki|de description sourced from de wiki|sk description sourced from sk wiki
words_changing_information|current,incumbent,expected,next year's,upcoming,future|aktuell,aktuelle,aktueller,aktuelles,aktuellen,aktuellem,amtierend,amtierende,amtierender,amtierendes,amtierenden,amtierendem,amtiere,amtierst,amtiert,amtieren,amtierte,amtietest,amtierten,amtietet,hat amtiert,nächstes,nächste,nächster,nächsten,nächstem,nächster Woche|súčasný,súčasná,súčasné,súčasného,súčasnej,súčasnému,súčasným,súčasnou,súčasní,súčasných,súčasným,súčasnými,súčasné,súčasných,očakávaný,očakávaná,očakávané,očakávaného,očakávanej,očakávanému,očakávaným,očakávanou,očakávaní,očakávaných,očakávaným,očakávanými,očakávané,očakávaných,budúcoročný,budúcoročná,budúcoročné,budúcoročného,budúcoročnej,budúcoročnému,budúcoročným,budúcoročnou,budúcoroční,budúcoročných,budúcoročným,budúcoročnými,budúcoročné,budúcoročných,pripravovaný,pripravovaná,pripravované,pripravovaného,pripravovanej,pripravovanému,pripravovaným,pripravovanou,pripravovaní,pripravovaných,pripravovaným,pripravovanými,pripravované,pripravovaných
